N,A,P,totalSent,ticks,throughput,averageDelay
5,6,0.0,2822,100000000,2.822E-5,14093.668320340184
10,6,0.0,5337,100000000,5.337E-5,22361.964024732995
15,6,0.0,6860,100000000,6.86E-5,52510.03221574344
20,6,0.0,8014,100000000,8.014E-5,84977.6603443973
40,6,0.0,8236,100000000,8.236E-5,319615.61801845557
60,6,0.0,8234,100000000,8.234E-5,562461.0501578819
80,6,0.0,8231,100000000,8.231E-5,801786.676467015
100,6,0.0,8231,100000000,8.231E-5,1043776.1490705868
5,20,0.0,6367,100000000,6.367E-5,28437.504319145595
10,20,0.0,7579,100000000,7.579E-5,80721.12626995645
15,20,0.0,8195,100000000,8.195E-5,121959.276876144
20,20,0.0,8235,100000000,8.235E-5,192819.8364298725
40,20,0.0,8236,100000000,8.236E-5,435577.09446333174
60,20,0.0,8234,100000000,8.234E-5,672668.5100801555
80,20,0.0,8231,100000000,8.231E-5,922471.0274571741
100,20,0.0,8230,100000000,8.23E-5,1164524.4989064399
